Skill Popularity Report based on Winning Setups
================================================

Stage 1: 二刀のオーク (177 wins from 243 patterns)
  - ＋盾 (盾): 10.0% presence in winning setups
  - ＋強 (強): 9.1% presence in winning setups
  - 怒濤 (怒): 7.6% presence in winning setups
  - 呪詛 (呪): 7.6% presence in winning setups
  - 雷火 (雷): 7.6% presence in winning setups
  - 隠刃 (隠): 7.6% presence in winning setups
  - 紫電 (紫): 7.6% presence in winning setups
  - 覚悟 (覚): 7.2% presence in winning setups
  - 封印 (封): 7.2% presence in winning setups
  - 疫病 (疫): 7.1% presence in winning setups
  - 玉響 (玉): 7.1% presence in winning setups
  - 影討 (影): 7.0% presence in winning setups
  - 連撃 (連): 6.9% presence in winning setups
  - 先制 (先): 6.9% presence in winning setups
  - 逆鱗 (逆): 6.9% presence in winning setups
  - 無想 (無): 6.9% presence in winning setups
  - 燐光 (燐): 6.7% presence in winning setups
  - 裏霞 (裏): 6.6% presence in winning setups
  - ＋反 (反): 2.2% presence in winning setups
  - ＋錬 (錬): 2.2% presence in winning setups
------------------------------------------------
